A. Caruso CHI - PG,SG GTD,6.7,12.8,0.528,2.7,3.4,7,0.476,19.5,6.9,5.7,3.4,1.1,2.367,4.6
Player Note L. Garza MIN - C,1.6,3.3,0.486,1,0.3,1.1,0.274,4.5,1.7,0.2,0.1,0,0.62,0.9
"New Player Note T. Lyles SAC - PF,C 7:00 pm vs NOP",4.1,10,0.411,2.5,1.7,5.7,0.302,12.4,8.8,1.2,0.2,0.4,0.695,2.8
"Player Note P. Connaughton MIL - SG,SF GTD",5.2,11.9,0.433,1.1,3.1,8.3,0.373,14.5,7.6,3.8,1.1,0.3,2.347,2.4
"Player Note D. Wade CLE - SF,PF INJ",0.9,2.4,0.37,0.1,0.7,2.1,0.329,2.6,2.7,0.6,0.6,0.1,2.148,1.7
Player Note T. McConnell IND - PG 4:30 pm vs BOS,4.6,8.6,0.539,1.1,0.2,0.9,0.254,10.5,3.8,5.5,1.1,0.2,4.039,1.7
No new player Notes J. McGee SAC - C 7:00 pm vs NOP,1.9,3,0.655,0.5,0,0.2,0.086,4.4,3.3,0.4,0.2,0.6,0.495,1
"Player Note N. Marshall NOP - SG,SF 7:00 pm @SAC",3.7,8.6,0.426,2.4,1.3,3.6,0.354,11,6.3,2.6,1,0.3,1.468,2.4
New Player Note J. Nowell MEM - SG,4.8,11.1,0.434,1.8,1.2,3.9,0.298,12.6,3.2,3,0.7,0.2,3.908,2
Player Note D. Jordan DEN - C,1.8,2.7,0.645,0.6,0,0,0,4.2,4.2,0.6,0.2,0.3,0.786,1.3
"Player Note Q. Grimes NYK - SG,SF",4.6,11.6,0.399,0.8,3,8.5,0.352,13,3.3,2.6,1.2,0.2,2.155,3.4
Player Note J. Alvarado NOP - PG 7:00 pm @SAC,2.8,7,0.406,0.6,1.1,3.1,0.341,7.3,2.4,2.7,1.2,0.1,2.405,1.6
"Player Note M. Beauchamp MIL - SG,SF",2.7,6.1,0.443,0.9,1.1,2.7,0.394,7.3,3.6,1.4,0.3,0.2,1.25,2.4
"No new player Notes K. Lofton Jr. MEM - PF,C",1.2,3,0.399,0.5,0.2,0.7,0.252,3.1,1.3,1.1,0.2,0.2,2.192,1.4
Player Note S. Vezenkov SAC - PF 7:00 pm vs NOP,4.1,9.4,0.434,0.9,2.1,5.7,0.364,11.1,5.1,1,0.7,0.5,1.311,2
Player Note A. Jackson Jr. MIL - SG GTD,1.6,2.6,0.608,0,0.7,1.4,0.528,3.9,2.4,1.2,0.5,0,1.327,2.5
"Player Note A. Nesmith IND - SF,PF 4:30 pm vs BOS",6.9,13.8,0.503,2.3,2.9,7.1,0.413,19.1,7.4,1.8,2,1,1.49,5.5
"New Player Note D. Mitchell SAC - PG,SG 7:00 pm vs NOP",1.4,3.5,0.392,0.4,0.6,2,0.304,3.8,1,1.8,0.3,0.1,3.152,0.8
"Player Note D. Saric GSW - PF,C",6,13.7,0.438,2.9,2.5,7.2,0.353,17.4,10.4,4.2,1.3,0.6,2.026,3.9
"Player Note D. McDermott SAS - SF,PF GTD",4.4,9.7,0.455,0.7,2.9,6.6,0.434,12.3,2.3,2.3,0.4,0.2,2.018,1.9
Player Note C. Jones SAC - SG 7:00 pm vs NOP,1.4,3.2,0.445,0.2,0.1,1,0.139,3.3,1.6,0.3,0.2,0.1,0.65,1
"No new player Notes R. Bullock HOU - SF,PF",0.8,1.9,0.412,0.1,0.6,1.5,0.371,2.2,1.1,0.3,0.2,0.1,2.196,0.5
"New Player Note D. Smith Jr. BKN - PG,SG",2.6,5.8,0.438,0.9,0.4,1.5,0.281,6.4,2.7,3.6,0.9,0.2,3.124,1.6
New Player Note C. Zeller NOP - C 7:00 pm @SAC,1,2.7,0.358,0.9,0,0.1,0.22,2.9,5,1.4,0.2,0.2,2.334,1.9
Player Note D. Nix MIN - PG,0.2,0.6,0.373,0.1,0.1,0.3,0.302,0.6,0.2,0.2,0.1,0,1.5,0.1
"Player Note K. Ellis SAC - SG,SF 7:00 pm vs NOP",1,2.8,0.371,0.5,0.6,2.2,0.262,3.2,1.5,0.9,0.5,0.3,1.914,0.9
Player Note J. Kuminga GSW - PF,5.7,12.1,0.469,3.1,1,3.6,0.28,15.5,4.9,2.1,1,0.8,0.904,3.4
Player Note I. Hartenstein NYK - C,4.2,7.4,0.565,1.6,0.2,0.5,0.305,10.1,9.9,1.9,1.5,1,1.242,4.3
"Player Note X. Tillman Sr. MEM - PF,C",3.7,7.9,0.466,1,0.4,1.5,0.264,8.7,5.6,1.9,1.6,0.8,1.779,2.1
"No new player Notes A. Green MIL - PG,SG",0.7,2,0.37,0.1,0.5,1.7,0.317,2.1,0.6,0.5,0,0,18.714,0.6
Player Note Z. Williams MEM - SF GTD,6,15,0.398,1.8,2.5,7.6,0.326,16.2,7.1,2.4,1.1,0.4,1.108,4.1
"Player Note M. Moody GSW - SG,SF",5.2,11.3,0.461,2,2.1,6.1,0.342,14.5,5.9,1.8,1.1,0.7,1.787,2.5
New Player Note C. Duarte SAC - SF GTD 7:00 pm vs NOP,3.8,9.2,0.408,1.3,1.7,5.1,0.337,10.5,4.1,1.9,1.2,0.1,1.571,3.5
"No new player Notes K. Edwards SAC - SG,SF 7:00 pm vs NOP",0.6,2,0.314,0.1,0.3,1.3,0.268,1.7,1.3,0.4,0.2,0.2,3.602,0.6
Player Note M. Sasser DET - PG,5,11.3,0.446,1.2,2.2,5.3,0.409,13.4,3.5,3.7,1.1,0.5,2.131,2.8
Player Note D. House Jr. PHI - SF INJ,1.7,3.9,0.427,0.9,0.7,2.2,0.334,4.9,2,1,0.5,0.3,1.133,1.1
"No new player Notes D. Bertans OKC - PF,C",0.4,1.3,0.348,0.4,0.4,1.1,0.351,1.7,0.5,0.2,0.1,0.1,3.37,0.4
"Player Note D. DiVincenzo NYK - SG,SF",6.2,14.5,0.425,1.6,4,9.7,0.413,18,6.3,3.9,1.8,0.5,1.578,2.8
"Player Note C. Joseph GSW - PG,SG",0.7,1.9,0.373,0.4,0.3,1,0.26,2.1,0.8,1.3,0.2,0.1,2.973,0.7
Player Note J. Bouknight CHA - SG,0.3,0.9,0.364,0.1,0.1,0.3,0.341,0.9,0.3,0.2,0,0,1.692,0.2
"Player Note H. Barnes SAC - SF,PF 7:00 pm vs NOP",7.7,16.2,0.472,4.1,3.2,8.7,0.366,22.6,6.9,2.8,1.3,0.3,1.939,2.1
"No new player Notes E. Omoruyi WAS - SF,PF",0.6,0.9,0.635,0.3,0.1,0.3,0.449,1.6,0.5,0.2,0.1,0,1.376,0.3
"Player Note A. Gill WAS - PF,C",0.3,0.5,0.535,0.2,0,0.1,0.253,0.8,0.3,0.1,0,0.1,1.032,0.2
"No new player Notes J. Robinson-Earl NOP - PF,C 7:00 pm @SAC",0.2,0.6,0.414,0.1,0.1,0.3,0.385,0.6,0.5,0.1,0,0,1.012,0.2
"No new player Notes S. Mays POR - PG,SG",0.5,1.3,0.411,0.2,0.2,0.5,0.288,1.4,0.3,0.7,0.1,0,3.229,0.2
"Player Note J. Green DAL - SG,SF GTD",3.5,7.4,0.476,0.8,1.3,3.7,0.367,9.2,3.1,2.3,1.2,0.3,2.55,2.1
Player Note J. Butler WAS - SG,0.3,0.8,0.419,0.1,0.1,0.5,0.315,0.9,0.2,0.4,0.1,0.1,2.446,0.3
"Player Note J. Smith IND - PF,C INJ 4:30 pm vs BOS",1.5,2.5,0.616,0.7,0.3,0.7,0.479,4.1,2.2,0.3,0.2,0.2,0.835,0.7
"Player Note B. Boston Jr. LAC - SG,SF INJ",0.3,0.8,0.375,0.1,0,0.3,0.183,0.7,0.2,0.1,0.1,0,1.676,0.1
Player Note J. Goodwin PHX - PG,2.5,6.4,0.392,0.6,1.1,3.2,0.341,6.7,4.4,2.1,0.8,0.3,2.542,1.3
