"No new player Notes K. Williams OKC - SF,PF 5:00 pm vs GSW",96.3,189,0.507,14.7,34.5,78.7,0.438,241,130,71.3,22.3,7.5,3.7,74.2
"Player Note J. Carter CHI - PG,SG 5:30 pm @SAS",115,283,0.407,6.9,67.8,179,0.378,305,71.5,87,28.1,14.8,2.3,66.4
"Player Note D. Daniels NOP - PG,SG",92.3,221,0.417,38.4,22.8,85.9,0.266,245,153,105,44.6,18.9,2.4,71.6
"Player Note Q. Grimes NYK - SG,SF 4:30 pm @BOS",151,369,0.412,30.5,99.2,274,0.361,433,112,81.6,36.7,9.5,2.1,116
"No new player Notes C. Martin CHA - SG,SF INJ 4:00 pm vs TOR",65.4,138,0.473,23.6,18.2,51.8,0.351,172,91,57.6,28.7,10.6,3.1,36.7
"Player Note T. Mann LAC - SG,SF 7:00 pm @UTA",138,299,0.463,41.2,32.8,114,0.286,351,164,97.8,30.6,12.8,2.8,86.1
"Player Note J. Tate HOU - SF,PF 6:00 pm @DEN",137,279,0.491,37.4,35.8,107,0.333,347,188,77.4,43.9,15.4,2,135
"New Player Note T. Craig CHI - SF,PF GTD 5:30 pm @SAS",133,302,0.44,31.2,53.5,156,0.343,351,264,69.4,33.9,24.8,1.6,128
Player Note N. Richards CHA - C 4:00 pm vs TOR,107,152,0.706,80.4,0,0.1,0.328,295,208,17.7,15.6,47.5,0.4,101
Player Note A. Dosunmu CHI - SG 5:30 pm @SAS,119,241,0.494,30.4,33.7,95.1,0.354,302,87.1,82.6,28.7,7.5,1.9,76.7
Player Note P. Beverley PHI - PG 4:00 pm vs ATL,85.1,202,0.421,28.7,37.7,113,0.332,236,145,117,28.7,14.3,3.5,90.2
No new player Notes D. Powell DAL - C 7:00 pm @POR,86.8,128,0.674,75.8,4.1,12.4,0.333,253,159,54,15.5,18.4,2.4,87.3
"Player Note S. Curry DAL - PG,SG 7:00 pm @POR",80.4,181,0.444,19.3,39.6,100,0.393,219,53.1,50.2,18.8,3.9,2.4,34.3
"No new player Notes B. Hyland LAC - PG,SG 7:00 pm @UTA",128,308,0.416,44.1,65.5,179,0.366,366,78.4,98.9,23.7,6.4,1.7,81.6
Player Note C. Bassey SAS - C 5:30 pm vs CHI,71.3,100,0.712,12.4,0,2.1,0.012,155,181,45.1,18.6,41.4,1.4,75.9
"Player Note D. Smith Jr. BKN - PG,SG 4:30 pm vs WAS",80,189,0.422,33.1,13.8,49.7,0.278,206,84.4,109,30.4,7.7,3.1,55.3
"Player Note K. Love MIA - PF,C 5:00 pm vs CLE",98.2,252,0.388,66.2,56.9,172,0.329,319,250,93.2,5.7,1.9,3.3,70.6
